journal,year,doi,title
JFE,2020,10.1016/j.jfineco.2020.03.008,Swap trading after Dodd-Frank: Evidence from index CDS
JFE,2021,10.1016/j.jfineco.2020.06.025,The design and transmission of central bank liquidity provisions
JFE,2021,10.1016/j.jfineco.2020.08.001,Regulatory transparency and the alignment of private and public enforcement: Evidence from the public disclosure of SEC comment letters
JFE,2021,10.1016/j.jfineco.2021.05.038,Flying below the radar: Insider trading by executives below the top
JFE,2021,10.1016/j.jfineco.2021.04.004,The effects of disclosure and enforcement on payday lending in Texas
JFE,2022,10.1016/j.jfineco.2022.07.009,Bank transparency and deposit flows
JFE,2023,10.1016/j.jfineco.2023.06.001,"Creditor rights, collateral reuse, and credit supply"
JFE,2023,10.1016/j.jfineco.2023.04.002,Stress tests and model monoculture
JFE,2024,10.1016/j.jfineco.2023.103775,Regulatory costs of being public: Evidence from bunching estimation
JFE,2024,10.1016/j.jfineco.2024.103913,Disclosing and cooling-off: An analysis of insider trading rules
JFE,2024,10.1016/j.jfineco.2024.103912,The cross-border effects of bank capital regulation
JFE,2024,10.1016/j.jfineco.2024.103818,"Price ceilings, market structure, and payout policies"
RFS,2000,10.1093/rfs/13.2.453,Government Intervention and Adverse Selection Costs in Foreign Exchange Markets
RFS,2005,10.1093/rfs/hhi013,"Island Goes Dark: Transparency, Fragmentation, and Regulation"
RFS,2006,10.1093/rfs/hhl011,Public Disclosure and Private Decisions: Equity Market Execution Quality and Order Routing
RFS,2008,10.1093/rfs/hhn108,Ownership: Evolution and Regulation
RFS,2010,10.1093/rfs/hhq077,Do Regulations Based on Credit Ratings Affect a Firm's Cost of Capital?
RFS,2010,10.1093/rfs/hhq123,Effects of Central Bank Intervention on the Interbank Market During the Subprime Crisis
RFS,2011,10.1093/rfs/hhr121,Assessing TARP
RFS,2013,10.1093/rfs/hht017,Shackling Short Sellers: The 2008 Shorting Ban
RFS,2014,10.1093/rfs/hhu018,The Ownership of Japanese Corporations in the 20th Century
RFS,2015,10.1093/rfs/hhv013,The Real Effects of Short-Selling Constraints
RFS,2015,10.1093/rfs/hhv002,Does Takeover Activity Cause Managerial Discipline? Evidence from International M&amp;A Laws
RFS,2016,10.1093/rfs/hhw016,Competition and Bank Opacity
RFS,2016,10.1093/rfs/hhw022,The Shadow Cost of Bank Capital Requirements
RFS,2016,10.1093/rfs/hhw030,Law and Finance Matter: Lessons from Externally Imposed Courts
RFS,2017,10.1093/rfs/hhx073,The Economic Effects of a Borrower Bailout: Evidence from an Emerging Market
RFS,2017,10.1093/rfs/hhx102,The Twilight Zone: OTC Regulatory Regimes and Market Quality
RFS,2017,10.1093/rfs/hhx083,Distributional Implications of Government Guarantees in Mortgage Markets
RFS,2018,10.1093/rfs/hhy052,Banks Response to Higher Capital Requirements: Evidence from a Quasi-Natural Experiment
RFS,2018,10.1093/rfs/hhy088,Is Silence Golden? Real Effects of Mandatory Disclosure
RFS,2018,10.1093/rfs/hhy002,Why Trading Speed Matters: A Tale of Queue Rationing under Price Controls
RFS,2018,10.1093/rfs/hhy028,Banks’ Incentives and Inconsistent Risk Models
RFS,2018,10.1093/rfs/hhy021,Safe Haven CDS Premiums
RFS,2019,10.1093/rfs/hhz037,The Distortive Effects of Too Big To Fail: Evidence from the Danish Market for Retail Deposits
RFS,2019,10.1093/rfs/hhz067,Do Financial Regulations Shape the Functioning of Financial Institutions’ Risk Management in Asset-Backed Securities Investment?
RFS,2020,10.1093/rfs/hhaa106,The Rise of Shadow Banking: Evidence from Capital Regulation
RFS,2020,10.1093/rfs/hhaa007,Information Revealed through the Regulatory Process: Interactions between the SEC and Companies ahead of Their IPO
RFS,2020,10.1093/rfs/hhaa067,Sharing the Pain? Credit Supply and Real Effects of Bank Bail-ins
RFS,2020,10.1093/rfs/hhaa032,Rules versus Discretion in Bank Resolution
RFS,2020,10.1093/rfs/hhaa008,Countercyclical Bank Equity Issuance
RFS,2020,10.1093/rfs/hhaa055,Overcoming Discount Window Stigma: An Experimental Investigation
RFS,2020,10.1093/rfs/hhaa051,Investor Protection and Capital Fragility: Evidence from Hedge Funds around the World
RFS,2021,10.1093/rfs/hhab002,Kicking the Can Down the Road: Government Interventions in the European Banking Sector
RFS,2021,10.1093/rfs/hhab102,Regulatory Forbearance in the U.S. Insurance Industry: The Effects of Removing Capital Requirements for an Asset Class
RFS,2022,10.1093/rfs/hhac083,Regulatory Limits to Risk Management
RFS,2022,10.1093/rfs/hhac038,Small Bank Lending in the Era of Fintech and Shadow Banks: A Sideshow?
RFS,2022,10.1093/rfs/hhac089,"Watch What They Do, Not What They Say: Estimating Regulatory Costs from Revealed Preferences"
RFS,2022,10.1093/rfs/hhac092,Deposit Insurance and Depositor Behavior: Evidence from Colombia
RFS,2022,10.1093/rfs/hhac037,The Effects of Capital Requirements on Good and Bad Risk-Taking
RFS,2023,10.1093/rfs/hhad008,Do Corporate Disclosures Constrain Strategic Analyst Behavior?
RFS,2023,10.1093/rfs/hhad043,Freeze! Financial Sanctions and Bank Responses
RFS,2023,10.1093/rfs/hhad086,Stress Testing and Bank Lending
RFS,2023,10.1093/rfs/hhad077,The Cost of Bank Regulatory Capital
RFS,2024,10.1093/rfs/hhae037,Conflicts of Interest in Municipal Bond Advising and Underwriting
