paper_id,source,title,in_scope,confidence,reason
10.1111/jofi.13233,jf,Modeling Corporate Bond Returns,False,high,This paper proposes a factor model for corporate bond returns without testing the causal effect of any specific government policy or regulation.
w4607,nber,Transfer Behavior: Measurement and the Redistribution of Resources within the Family,False,high,"This paper studies intergenerational transfers and family resource allocation behavior, not the causal effect of government policy on financial markets, firms, or investors."
10.2307/2328911,jf,A General Equilibrium Model of International Portfolio Choice,False,high,"This is a purely theoretical paper developing a general equilibrium model without empirical testing of any specific government law, regulation, or policy's causal effect."
w6873,nber,Explaining Rising Income and wage Inequality Among the College Educated,False,high,"This paper studies income and wage inequality trends among college-educated workers without examining causal effects of specific government policies on financial markets, firms, or investors."
10.1111/j.1540-6261.2004.00672.x,jf,Information and the Cost of Capital,False,high,"This is a theoretical paper examining how information composition affects cost of capital through market mechanisms, with no empirical test of a specific government policy's causal effect."
w7462,nber,What Causes Fluctuations in the Terms of Trade?,False,high,"This paper investigates sources of terms of trade volatility without focusing on the causal effect of a specific government law, regulation, or public policy."
w23088,nber,How Do Patents Affect Research Investments?,False,high,"The paper studies patents (a government policy) but its primary research question is about the effect on research investments and private/social returns alignment, not on financial markets, firms' financial decisions, or investor behavior."
w32484,nber,Why Doesn’t the United States Have National Health Insurance? The Political Role of the American Medical Association,False,high,"This paper studies political opposition to a proposed policy (National Health Insurance) rather than the causal effect of an implemented government law, regulation, or policy on financial outcomes."
10.1016/j.jfineco.2019.03.012,jfe,Crowdsourced employer reviews and stock returns,False,high,"The paper studies the effect of crowdsourced employer reviews on stock returns, which is purely private market behavior with no government law, regulation, or public policy as the primary research question."
w23202,nber,Firm Entry and Exit and Aggregate Growth,False,high,The paper studies the relationship between firm entry/exit and aggregate productivity growth without examining a specific government policy's causal effect on financial markets or firms.
w30474,nber,Fertility and the Education of African Parents and Children,False,high,"This paper studies the relationship between fertility and education in African populations, not the causal effect of a specific government law, regulation, or public policy on financial markets, firms, or investors."
w26235,nber,Local Effects of Land Grant Colleges on Agricultural Innovation and Output,False,high,"The paper studies the causal effect of land grant colleges on agricultural innovation and output, not on financial markets, firms, or investors."
w33160,nber,A Simple Model of Average Inflation Targeting,False,high,This is a purely theoretical paper deriving optimal monetary policy rules in a model without empirical testing of actual policy effects.
10.2307/2329426,jf,Lattice Models for Pricing American Interest Rate Claims,False,high,This is a purely theoretical paper on quantitative pricing models with no empirical test of any government policy's causal effect.
w3275,nber,Increasing Returns and Economic Geography,False,high,This is a purely theoretical paper developing a general equilibrium model of location choice with no empirical test of a specific government policy's causal effect.
10.1093/rfs/hhy057,rfs,Revealing Downturns,False,high,"This is a purely theoretical paper about investor behavior and asset pricing under uncertainty with no empirical test of any government law, regulation, or public policy."
w18075,nber,The Effect of Housing Wealth on College Choice: Evidence from the Housing Boom,False,high,"The paper studies the effect of housing wealth (a private economic condition) on college choice behavior, not the causal effect of a specific government law, regulation, or public policy."
w20044,nber,Private Information and Sunspots in Sequential Asset Markets,False,high,This is a purely theoretical paper studying market microstructure and information asymmetries with no empirical test of a specific government policy or regulation.
w19346,nber,Migration into the Welfare State: Tax and Migration Competition,False,high,"The paper focuses on migration patterns and welfare policy effects on immigrant composition rather than causal effects of government policy on financial markets, firms, or investors."
10.1093/rfs/hhn094,rfs,Model Comparison Using the Hansen-Jagannathan Distance,False,high,This is a purely theoretical/methodological paper developing statistical techniques for comparing asset-pricing models with no empirical test of any government policy's causal effect.
10.1111/jofi.12184,jf,Financial Protectionism? First Evidence,True,high,"The paper's primary research question examines the causal effect of bank nationalization (a specific government intervention) on cross-border lending behavior and loan pricing, using empirical bank-level panel data."
w4915,nber,Cadillac Contracts and Up-Front Payments: Efficient Investment Under Expectation Damages,False,high,This is a purely theoretical paper analyzing contract law and damages remedies without empirical testing of any specific government policy's causal effect on financial outcomes.
w25832,nber,"Family and Government Insurance: Wage, Earnings, and Income Risks in the Netherlands and the U.S.",False,high,This paper documents descriptive facts about wage and earnings risks across countries rather than estimating the causal effect of a specific government policy intervention.
w32926,nber,The Realities Of Disclosure Risks In The Age Of Dark Patterns And Big Data,False,high,"This paper examines disclosure risks and dark patterns in data collection without focusing on the causal effect of a specific government law, regulation, or public policy on financial markets, firms, or investors."
w19738,nber,Risk and Return in Village Economies,False,high,"This paper studies risk and return on capital assets in village economies without examining a specific government law, regulation, or policy intervention."
w6681,nber,Effects of Pensions on Saving: Analysis with Data from the Health and Retirement Study,False,high,The paper studies the relationship between pensions and saving behavior without focusing on the causal effect of a specific government policy or regulation.
10.1016/j.jfineco.2007.11.009,jfe,"Accruals, cash flows, and aggregate stock returns☆",False,high,This paper examines the relationship between accruals/cash flows and stock returns with no government policy variable or government intervention as the primary research question.
w24646,nber,Global Portfolio Diversification for Long-Horizon Investors,False,high,Paper focuses on portfolio diversification theory and investor behavior with no government policy intervention as the primary research question.
w18740,nber,Payment for Environmental Services: Hypotheses and Evidence,False,high,"This paper concerns environmental economics and payment schemes for ecosystem services, not the causal effect of government laws/regulations on financial markets, firms, or investors."
w6139,nber,Why Did the SSI-Disabled Program Grow So Much? Disentangling the Effect of Medicaid,False,high,"This paper studies the effect of a social security/welfare program (SSI-Medicaid) on program participation decisions, not the causal effect of government policy on financial markets, firms, or investors."
10.1111/j.1540-6261.1995.tb05184.x,jf,What Do We Know about Capital Structure? Some Evidence from International Data,False,high,This paper examines determinants of capital structure choices across countries without focusing on estimating causal effects of specific government policies or regulations.
w12080,nber,Insurance and Incentives for Medical Innovation,False,high,"The paper studies pharmaceutical innovation incentives in the context of health insurance rather than estimating the causal effect of a specific government law, regulation, or public policy on financial markets, firms, or investors."
w11346,nber,What Remains from the Volcker Experiment?,False,high,This is a theoretical paper discussing conceptual frameworks for policymaking innovation rather than empirically estimating the causal effect of a specific government policy on financial outcomes.
w15377,nber,Clusters of Entrepreneurship,False,high,"The paper examines the relationship between establishment size and employment growth without studying the causal effect of a specific government law, regulation, or public policy."
w13887,nber,Imperfect Substitution between Immigrants and Natives: A Reappraisal,False,high,"This paper studies labor market dynamics and wage effects related to immigration composition rather than the causal effect of a specific government law, regulation, or public policy on financial markets, firms, or investors."
w6064,nber,Excess Capital Flows and the Burden of Inflation in Open Economies,False,high,The paper's primary focus is on the interaction between inflation and nominal tax systems in open economies rather than the causal effect of a specific government law or regulation on financial markets.
w21447,nber,Measuring the Measurement Error: A Method to Qualitatively Validate Survey Data,False,high,"This paper focuses on methodological validation of survey data and measurement error in field experiments, not on estimating the causal effect of a specific government policy on financial markets or firms."
w4248,nber,Stoking the Fires? Co2 Emissions and Economic Growth,False,high,This paper appears to study the relationship between CO2 emissions and economic growth without a specific government policy intervention as its primary research question.
w18687,nber,The New Science of Pleasure,False,high,"This is a theoretical paper about consumer behavior and economic philosophy with no empirical test of a specific government policy's causal effect on financial markets, firms, or investors."
w10356,nber,How Well Can the New Open Economy Macroeconomics Explain the Exchange Rate and Current Account?,False,high,"This is a theoretical macroeconomic modeling paper testing how well NOEM theory explains exchange rates and current accounts, with no primary research question about the causal effect of a specific government law, regulation, or public policy."
w8266,nber,Measuring Masters and Masterpieces: French Rankings of French Painters and Paintings from Realism to Surrealism,False,high,"This paper studies art history and cultural rankings of painters and paintings, with no connection to government intervention, financial markets, firms, or investors."
w27379,nber,Enabling Entrepreneurial Choice,False,high,This is a theoretical paper on entrepreneurial decision-making under uncertainty with no empirical test of a specific government policy's causal effect on financial markets or firms.
w20080,nber,The Role of Proximity in Foreclosure Externalities: Evidence from Condominiums,False,high,"The paper studies the effect of foreclosures (a market outcome) on property prices rather than the causal effect of a specific government law, regulation, or policy."
w24576,nber,Working Longer in the U.S.: Trends and Explanations,False,high,"This paper studies trends in labor force participation for older workers without a primary focus on estimating the causal effect of a specific government law, regulation, or public policy on financial markets, firms, or investors."
w17819,nber,Measuring the Upstreamness of Production and Trade Flows,False,high,"This paper is purely theoretical/methodological, proposing measurement approaches for production upstreamness with no empirical test of any government policy's causal effect."
w11395,nber,Price and the Health Plan Choices of Retirees,False,high,"This paper studies retiree health plan choices in an employer-sponsored program, which is primarily about individual decision-making behavior rather than estimating the causal effect of a specific government policy on financial markets, firms, or investors."
10.1093/rfs/hhm091,rfs,Institutional Portfolio Flows and International Investments,False,high,"This paper studies institutional portfolio flows and their relationship with equity returns in emerging markets, with no focus on any specific government law, regulation, or public policy as a causal variable."
w29175,nber,"Collusion, Mergers, and Related Antitrust Issues",False,high,"This is a survey paper examining economic research on antitrust generally, not an empirical study of the causal effect of a specific government law or regulation on financial markets, firms, or investors."
w18343,nber,The Labor Market Returns to a For-Profit College Education,False,high,"The paper studies returns to education at for-profit colleges, which is about private firm/market behavior and individual human capital outcomes, not about the causal effect of a specific government law, regulation, or policy on financial markets, firms, or investors."
w3494,nber,Workers' Compensation and Injury Duration: Evidence from a Natural Experiment,False,high,"The paper studies the causal effect of workers' compensation policy on worker behavior (injury duration/return to work), not on financial markets, firms, or investors."
h0060,nber,Three Phases of Argentine Economic Growth,False,high,This is a historical macroeconomic analysis of Argentina's growth phases rather than an empirical study of a specific government policy's causal effect on financial markets or firms.
10.1016/j.jfineco.2019.11.007,jfe,Private money creation with safe assets and term premia,False,high,"The paper's primary focus is on private sector safe asset creation behavior and term premia dynamics, with Federal Reserve policy (RRP operations) serving as a secondary empirical comparison rather than the main causal mechanism being investigated."
10.1016/j.jfineco.2005.06.006,jfe,"Political relationships, global financing, and corporate transparency: Evidence from Indonesia☆",False,high,"The paper's primary focus is on how political connections (a firm characteristic) affect financing strategies and performance, not on the causal effect of a specific government law, regulation, or public policy."
w24526,nber,How Redeployable are Patent Assets? Evidence from Failed Startups,False,high,"The paper studies the redeployment of patents from failed startups, which is a private firm/market behavior question with no specific government law, regulation, or public policy as the primary research focus."
w20091,nber,The Market for High-Quality Medicine,False,high,"The paper's primary research question concerns the causal effect of chain store entry on drug quality and prices, which is a private market competition issue, not the causal effect of a specific government law, regulation, or public policy."
10.1111/jofi.13412,jf,Sustainability or Greenwashing: Evidence from the Asset Market for Industrial Pollution,False,high,"The paper's primary research question concerns private firm behavior (plant divestitures and greenwashing) in response to market pressures, not the causal effect of a specific government law, regulation, or public policy."
w4121,nber,Rational Asset Price Movements Without News,False,high,"This is a purely theoretical paper about asset price dynamics and information revelation through trading, with no empirical test of any government policy or regulation."
w4021,nber,The Effects of Tax-Based Saving Incentives on Government Revenue and National Saving,False,high,"The paper's primary focus is on measuring the fiscal and macroeconomic effects of tax-saving incentives (IRA plans) rather than testing causal effects on financial markets, firms, or investors' behavior."
w9417,nber,Foreign Firms and Indonesian Manufacturing Wages: An Analysis With Panel Data,False,high,"The paper studies the causal effect of foreign firm acquisition on wages, not the effect of a government law, regulation, or public policy."
w15959,nber,Market Structure and Innovation: A Dynamic Analysis of the Global Automobile Industry,False,high,"This paper studies the relationship between market structure and innovation in the automobile industry using theoretical economic modeling, with no indication of estimating the causal effect of a specific government law, regulation, or public policy."
w9862,nber,Anticipated Ramsey Reforms and the Uniform Taxation Principle: the Role of International Financial Markets,False,high,This is a purely theoretical paper studying optimal policy properties in a general equilibrium framework without empirical testing of a specific government policy's causal effects.
w22743,nber,Macrofinancial History and the New Business Cycle Facts,False,high,This paper describes macrofinancial trends and business cycle facts without testing the causal effect of a specific government policy on financial outcomes.
w18788,nber,Heterogeneous Workers and International Trade,False,high,"This is a theoretical survey paper on international trade models with no empirical test of a specific government policy's causal effect on financial markets, firms, or investors."
w3649,nber,Tax Policy to Combat Global Warming: On Designing a Carbon Tax,False,high,"This is a purely theoretical paper on carbon tax design without empirical estimation of causal effects on financial markets, firms, or investors."
w16012,nber,The Impact of Health Care Reform On Hospital and Preventive Care: Evidence from Massachusetts,False,high,"This paper studies health care reform and hospital/preventive care outcomes, not the causal effects of government policy on financial markets, firms, or investors."
10.1016/j.jfineco.2005.12.009,jfe,Do hedge funds deliver alpha? A Bayesian and bootstrap analysis☆,False,high,"This paper studies hedge fund performance and alpha measurement using statistical methods, with no empirical examination of the causal effect of any specific government law, regulation, or public policy."
w22039,nber,Transparency and Negotiated Prices: The Value of Information in Hospital-Supplier Bargaining,False,high,"The paper studies the effect of information on private negotiation outcomes between hospitals and suppliers, not the causal effect of a government law, regulation, or public policy."
w8728,nber,Outsourcing in a Global Economy,False,high,"This is a purely theoretical paper studying general equilibrium outsourcing models without empirical testing of any specific government policy's causal effect on financial markets, firms, or investors."
w30109,nber,Cutting Out the Middleman: The Structure of Chains of Intermediation,False,high,This paper studies the structure of private intermediation chains and trade costs with no primary research question about government policy effects.
w9490,nber,Institutions Don't Rule: Direct Effects of Geography on Per Capita Income,False,high,"This paper studies the direct effects of geography on income, not the causal effect of a specific government policy or regulation on financial markets, firms, or investors."
w15771,nber,"Property Rights, Land Conflict and Tenancy in Brazil",False,high,"This paper studies agricultural labor and land tenancy behavior in Brazil, not the causal effect of a specific government law or policy on financial markets, firms, or investors."
