paper_id,title,year,in_scope,scope_conf,scope_reason
w4964,Getting Interventions Right: How South Korea and Taiwan Grew Rich,1994,False,high,"This is a theoretical/descriptive paper explaining growth mechanisms without empirically testing the causal effect of specific government interventions on financial markets, firms, or investors."
w4972,Competition Policy and International Trade,1994,False,high,"This is a purely theoretical discussion paper that does not empirically test the causal effect of any specific government policy on financial markets, firms, or investors."
t0182,Refining Estimates of Marital Status Differences in Mortality at Older Ages,1995,False,high,"This paper studies the relationship between marital status and mortality outcomes with no focus on any government law, regulation, or public policy's causal effect."
w4993,The Decline of Traditional Banking: Implications for Financial Stabilityand Regulatory Policy,1995,False,high,"This is primarily a theoretical paper outlining economic forces and proposing regulatory approaches, without empirically testing the causal effect of a specific government policy on financial markets or firms."
w5085,Settling for Coupons: Discount Contracts as Compensation and Punishment in Antitrust Lawsuits,1995,False,high,"This paper analyzes the economic structure and effects of private antitrust settlement contracts rather than the causal effect of a specific government law, regulation, or public policy on financial markets, firms, or investors."
w5096,Financial Innovation and the Management and Regulation of Financial Institutions,1995,False,high,This is a theoretical paper providing a functional perspective on institutional change without empirically testing the causal effect of specific government policies on financial markets or institutions.
w5114,A Heckscher-Ohlin View of Sweden Competing in the Global Market,1995,False,high,"This is a purely theoretical paper applying Heckscher-Ohlin trade theory to explain Sweden's economic performance; it contains no empirical test of a specific government policy's causal effect on financial markets, firms, or investors."
w5195,Alcohol Policies and Highway Vehicle Fatalities,1995,False,high,"The paper's primary research question concerns the causal effect of alcohol policies on highway fatalities, not on financial markets, firms, or investors."
w5249,Culture and Language,1995,False,high,"This paper studies cultural assimilation and language learning as outcomes of individual incentives and social factors, not the causal effect of a specific government policy on financial markets, firms, or investors."
w5265,Is There an Equity-Efficiency Trade-Off in School Finance? Tiebout and a Theory of the Local Public Goods Producer,1995,False,high,"This paper studies education/public goods policy rather than financial markets, firms, or investors, and lacks a primary focus on causal effects of specific government finance laws on finance sector outcomes."
w5275,Rate Regulation and the Industrial Organization of Automobile Insurance,1995,True,high,"The paper's primary research question is the causal effect of state rate regulation (a specific government policy) on automobile insurance market structure, firms' entry/exit decisions, and market shares."
h0094,"The Efficiency Consequences of Institutional Change: Financial Market Regulation and Industrial Productivity Growth in Brazil, 1866-1934",1996,True,high,The paper's primary research question is estimating the causal effect of specific government financial market regulations (1890 reform of limited liability and mandatory disclosure rules) on firm productivity and economic outcomes.
w5442,The Efficiency of Self-Regulated Payments Systems: Learning From the Suffolk System,1996,False,high,"This paper studies the causal effects of a private self-regulated clearing system (Suffolk System), not a government law, regulation, or public policy, making it outside the scope of government intervention research."
w5542,Sulfur Dioxide Compliance of a Regulated Utility,1996,True,high,"The paper's primary research question examines the causal effect of public utility commission regulatory rules on the cost of sulfur dioxide compliance, which is a specific government policy affecting firms."
w5571,Understanding the Postwar Decline in U.S. Saving: A Cohort Analysis,1996,False,high,"The paper studies the descriptive relationship between government spending programs and saving rates through decomposition analysis, but does not estimate the causal effect of a specific policy intervention on financial markets, firms, or investors."
w5574,Strategic Export Subsidies and Reciprocal Trade Agreements: The Natural Monopoly Case,1996,False,high,"This is a purely theoretical paper analyzing government export subsidies through game-theoretic modeling without empirical testing of actual policy effects on financial markets, firms, or investors."
w5635,"Hyperbolic Discount Functions, Undersaving, and Savings Policy",1996,False,high,This is a purely theoretical paper analyzing hyperbolic discounting in a model economy without empirical testing of actual government savings policies' causal effects on financial outcomes.
w5646,Long-Run PPP May Not Hold After All,1996,False,high,"This is a purely theoretical/methodological paper about econometric testing procedures for PPP, with no empirical analysis of any government policy's causal effect on financial markets or firms."
w5687,Deregulation and Labor Earnings in the Airline Industry,1996,False,high,"While the paper studies deregulation (a government policy), its primary research question is about labor earnings and wage structure rather than the causal effect of the policy on financial markets, firms, or investors as defined by the scope."
w5746,Environmental Change and Hedonic Cost Functions for Automobiles,1996,True,high,The paper's primary research question examines the causal effect of emission standard regulations on production costs and product characteristics in the automobile industry.
w5751,The Determinants of Technological Change in Heart Attack Treatment,1996,False,high,"This paper studies determinants of technology diffusion in healthcare treatment, not the causal effect of government policy on financial markets, firms, or investors."
w5770,Estimating the Welfare Effects of Digital Infrastructure,1996,False,high,"The paper's primary focus is on measuring the welfare effects and demand elasticity for infrastructure investment by private firms, with state regulation treated as a control variable rather than the causal policy effect of interest."
w5796,Paying for Health Insurance: The Tradeoff between Competition and Adverse Selection,1996,False,high,"This paper studies the causal effect of an internal organizational pricing policy (Harvard's health insurance subsidy change) on employee choices and market equilibrium, not the effect of a government law, regulation, or public policy on financial markets, firms, or investors."
w5817,Private and Public Supply of Liquidity,1996,False,high,"This is a purely theoretical paper that models the role of government in liquidity provision without empirically testing the causal effect of any specific government law, regulation, or policy."
w5880,Manufacturing Plant Location: Does State Pollution Regulation Matter?,1997,True,high,"The paper's primary research question tests the causal effect of state pollution regulation on manufacturing plant location decisions, using multiple regulatory measures as policy variables."
w5972,The Way We Were (And Are): Changes in Public Finance and Its Textbooks,1997,False,high,"This is a methodological review paper comparing public finance textbooks across time periods, not an empirical study estimating the causal effect of a specific government policy on financial markets, firms, or investors."
w5986,The Great Depression and the Regulating State: Federal Government Regulation of Agriculture: 1884-1970,1997,False,high,"This paper studies the causal effect of agricultural policies on the agricultural sector and government spending, not on financial markets, firms, or investors."
w6020,Ethical Foundations of Financial Regulation,1997,False,high,"This is a purely theoretical paper discussing the philosophical and economic foundations of financial regulation without empirically testing the causal effect of any specific government law, regulation, or policy."
w6022,Asymmetric Volatility and Risk in Equity Markets,1997,False,high,"This paper investigates asymmetric volatility and risk dynamics in equity markets with no focus on the causal effect of any specific government law, regulation, or public policy."
w6036,"Environmental Regulation, Investment Timing, and Technology Choice",1997,True,high,"The paper's primary research question is the causal effect of environmental regulation (a specific government policy) on firms' technology choices and investment decisions, tested empirically using data from 686 paper mills."
w6048,Balladurette and Juppette: A Discrete Analysis of Scrapping Subsidies,1997,False,high,"The paper studies the causal effects of government subsidies on the automobile/durable goods market, not on financial markets, firms, or investors."
w6193,The Predictive Validity of Subjective Probabilities of Survival,1997,False,high,"This paper studies subjective survival probabilities and their predictive validity for mortality using survey data, with no primary research question about the causal effect of government policy on financial markets, firms, or investors."
w6381,Stock Market Volatility: Ten Years After the Crash,1998,False,high,The paper primarily describes and analyzes stock market volatility patterns over time rather than estimating the causal effect of a specific government policy or regulation on financial markets.
w6443,The Effects of Price Changes on Alcohol Consumption in Alcohol-Experienced Rats,1998,False,high,"This is a laboratory experiment on animal behavior and consumer choice theory with no empirical test of any government law, regulation, or public policy."
w6469,Financial Fragility and the Exchange Rate Regime,1998,False,high,This is a purely theoretical paper using a Diamond-Dybvig model to analyze exchange rate regimes without empirical testing of any specific government policy's causal effects on financial markets.
w6488,The Effect of Price Advertising and Prices: Evidence in the Wake of 44 Liquormart,1998,False,high,"The paper's primary research question concerns the causal effect of price advertising on firm pricing behavior and market competition, not the causal effect of a government policy/regulation itself, despite using a policy change as the natural experiment."
w6606,Financial Crises in Emerging Markets,1998,False,high,This is a purely theoretical paper presenting a model of financial crises without empirical testing of any specific government policy's causal effect.
w6629,The Effects of Alcohol Regulation on Physical Child Abuse,1998,False,high,"The paper's primary research question concerns the causal effect of alcohol regulation on physical child abuse (a social outcome), not on financial markets, firms, or investors."
w6644,Fee Speech: Adverse Selection and the Regulation of Mutual Funds,1998,False,high,This is primarily a theoretical paper using an adverse selection model to analyze fee structures; it does not empirically estimate the causal effect of the 1940 Investment Advisors Act regulation on financial markets or firms.
w6652,"Investment, Fundamentals and Finance",1998,False,high,"This paper studies the causal effect of financial variables (cash flow, cash stocks) on firm investment decisions, not the causal effect of a specific government law, regulation, or public policy."
w6673,LAPM: A Liquidity-based Asset Pricing Model,1998,False,high,"This is a purely theoretical paper developing an alternative asset pricing model based on corporate liquidity preferences, with no empirical test of a specific government law, regulation, or policy's causal effect on financial markets."
w6701,"Change, Consolidation, and Competition in Health Care Markets",1998,False,high,This paper primarily describes structural changes in health care markets and discusses potential policy implications rather than empirically testing the causal effect of a specific government intervention on financial outcomes.
w6703,Capital Mobility in a Second Best World -- Moral Hazard With Costly Financial Intermediation,1998,False,high,This is a purely theoretical paper with no empirical test of a specific government policy's causal effect on financial markets or firms.
w6782,Volatility and the Welfare Costs of Financial Market Integration,1998,False,high,This is a purely theoretical paper examining welfare effects of financial integration through economic models without empirical testing of any specific government policy's causal effects.
w6796,The Asian Liquidity Crisis,1998,True,high,The paper's primary research question examines the causal effects of specific government policies (exchange rate fixing and lender of last resort policies) on financial crises and exchange rate collapses in Asian financial markets.
w6824,"Under What Circumstances, Past and Present, Have International Rescues of Countries in Financial Distress Been Successful?",1998,False,high,This paper describes and contrasts historical rescue policies without estimating causal effects of specific government interventions on financial markets or firms.
w6826,Does Air Quality Matter? Evidence from the Housing Market,1998,False,high,"The primary research question concerns the causal effect of air pollution on housing prices, not the causal effect of government regulation on financial markets/firms/investors; the regulation is merely an instrumental variable to identify the pollution-price relationship."
w6836,"Distance to Hospitals and Children's Access to Care: Is Being Closer Better, and for Whom?",1998,False,high,"This paper studies the effect of geographic distance to hospitals on children's healthcare utilization, not the causal effect of a specific government law, regulation, or public policy on financial markets, firms, or investors."
w6847,Conflict of Interest in the Issuance of Public Securities: Evidence from Venture Capital,1998,False,high,The primary research question concerns private firm behavior (conflicts of interest in IPO underwriting) with Glass-Steagall serving as contextual background rather than the main causal variable being tested.
w6359,Alcohol Regulation and Violence Towards Children,1999,False,high,"While the paper examines government policies (excise taxes, availability restrictions, advertising laws), its PRIMARY research question concerns the causal effect of alcohol consumption on domestic violence toward children, not the direct causal effect of the policies on financial markets, firms, or investors."
w6655,Financial Consolidation: Dangers and Opportunities,1999,False,high,"This is a theoretical/argumentative paper that discusses potential policy approaches (deposit insurance reform, supervision) without empirically testing the causal effect of any specific implemented government law, regulation, or policy."
w6682,"EMU: Ready, or Not?",1999,False,high,This is a primarily theoretical and descriptive paper examining EMU's structural design and transitional challenges rather than empirically estimating the causal effect of a specific government policy on financial markets.
w6893,"When Industries Become More Productive, Do Firms?",1999,False,high,"This paper investigates productivity dynamics through firm-level data analysis without testing the causal effect of a specific government law, regulation, or public policy on financial markets or firms."
w6949,Can Market and Voting Institutions Generate Optimal Intergenerational Risk Sharing?,1999,False,high,"This is a purely theoretical paper with no empirical test of a specific government law, regulation, or policy's causal effect on financial markets, firms, or investors."
w7042,The Role of Bank Restructuring in Recovering from Crises: Mexico 1995-98,1999,True,high,"The paper's primary research question examines the causal effect of Mexico's 1995 bank restructuring/bailout policy on credit markets and firm financing outcomes, with empirical analysis of how this government intervention affected lending patterns and non-performing loans."
w7047,The Economics of Smoking,1999,True,high,"The paper's primary focus is analyzing the causal effects of government tobacco control policies (excise taxes, advertising restrictions) on cigarette consumption and economic outcomes, which are core questions about policy impact on markets and consumers."
w7077,Fiscal Stance and the Real Exchange: Some Empirical Estimates,1999,False,high,"This paper studies the general relationship between fiscal policy and exchange rates without isolating the causal effect of a specific government law, regulation, or policy intervention."
w7093,"Does ""Grease Money"" Speed Up the Wheels of Commerce?",1999,False,high,"The paper studies the relationship between private firm behavior (bribe payments) and outcomes, not the causal effect of a specific government law, regulation, or public policy."
w7143,Hedging and Financial Fragility in Fixed Exchange Rate Regimes,1999,True,high,"The paper's primary research question is the causal effect of government guarantees (a specific public policy) on banking system fragility, hedging behavior, and financial outcomes in fixed exchange rate regimes."
w7202,Reserve Uncertainty and the Supply of International Credit,1999,False,high,This paper primarily studies how reserve uncertainty affects international credit supply through a theoretical model with no specific government policy intervention as the causal variable of interest; reserve management is not a discrete policy change being evaluated.
w7204,The Value of Reductions in Child Injury Mortality in the U.S.,1999,False,high,"The paper studies child injury mortality and its causes (living circumstances, knowledge, parental time) rather than estimating the causal effect of a specific government law or regulation on financial markets, firms, or investors."
w7250,The Japanese Banking Crisis: Where Did It Come From and How Will It End?,1999,True,high,"The paper's primary research question examines the causal effect of Japanese banking deregulation (the Big Bang) on financial markets and firm behavior, with empirical evidence on how deregulation affected bank lending patterns, corporate financing choices, and asset quality."
w7253,Are All Banking Crises Alike? The Japanese Experience in International Comparison,1999,False,high,"The paper examines banking crises as a descriptive comparative analysis and uses a predictive model of crisis likelihood based on macroeconomic variables, but does not estimate the causal effect of a specific government policy intervention on financial outcomes."
w7319,"Bankers on Boards: Monitoring, Conflicts of Interest, and Lender Liability",1999,False,high,"The paper studies the determinants of banker board representation and associated conflicts of interest, not the causal effect of a specific government policy on financial markets or firms."
w7369,Environmental Compliance Costs and Foreign Direct Investment Inflows to U.S. States,1999,True,high,"The paper's primary research question is the causal effect of environmental regulations (a specific government policy) on foreign direct investment inflows, estimated using panel data comparing regulatory stringency across U.S. states."
w7371,Occupational Gender Composition and Wages in Canada: 1987-1988,1999,False,high,"This paper describes occupational gender composition and wages as a baseline prior to pay equity legislation, rather than estimating the causal effect of a specific implemented government policy on financial outcomes."
w7380,Anticipated and Actual Bequests,1999,False,high,"This paper studies individual bequest behavior and life-cycle consumption patterns using survey data, with no primary research question about the causal effect of any specific government law, regulation, or public policy."
w7420,The Future of Monetary Policy: The Central Bank as an Army With Only a Signal Corps,1999,False,high,"This is a purely theoretical paper discussing monetary policy mechanisms and future challenges without empirically testing the causal effect of any specific government law, regulation, or policy on financial markets."
w7430,"Liquidity Risk, Liquidity Creation and Financial Fragility: A Theory of Banking",1999,False,high,This is a purely theoretical paper developing a banking theory model without empirical testing of specific government policies or regulations.
w7447,Coase v. the Coasians,1999,True,high,The paper's primary research question is the causal effect of specific government securities law enforcement and regulatory strategies on financial market development in Poland and Czech Republic.
h0124,How Long Did It Take the United States to Become an Optimal Currency Area?,2000,False,high,This paper is primarily a theoretical and historical analysis of monetary union optimality rather than an empirical test estimating the causal effect of a specific government policy on financial markets.
w7495,Do Patents Matter?: Empirical Evidence after GATT,2000,True,high,The paper empirically examines the causal effect of patent protection policy (a government-mandated regulatory change under GATT) on pharmaceutical R&D allocation and investment decisions.
w7507,"Is Addiction ""Rational""? Theory and Evidence",2000,False,high,"The paper's primary research question is about whether addiction is rational (testing economic theory), not about estimating the causal effect of a specific government policy on financial markets, firms, or investors."
w7514,"Capital Movements, Banking Insolvency, and Silent Runs in the Asian Financial Crisis",2000,False,high,"The paper primarily analyzes the causes and context of the Asian financial crisis through theoretical frameworks (agency costs, contestable markets) rather than empirically testing the causal effect of a specific government policy intervention on financial outcomes."
w7554,On the Fundamentals of Self-Fulfilling Speculative Attacks,2000,False,high,This is a purely theoretical paper proposing a crisis model without empirical testing of any specific government policy's causal effect on financial outcomes.
w7630,From Benign Neglect to Malignant Preoccupation: U.S. Balance-of-Payments Policy in the 1960s,2000,False,high,This paper primarily describes and explains historical balance-of-payments dynamics and monetary system structure rather than estimating the causal effect of a specific government policy intervention on financial outcomes.
w7700,Foreign Direct Investments in Services and the Domestic Market for Expertise,2000,False,high,This is a purely theoretical paper developing a model of FDI in services without empirical testing of any specific government policy's causal effect on financial outcomes.
w7715,"Can Emerging Market Bank Regulators Establish Credible Discipline? The Case of Argentina, 1992-1999",2000,True,high,"The paper's primary research question examines the causal effect of specific government bank regulatory policies (privatization, liberalization, safety net rules, market discipline mechanisms) on banking system stability and behavior in Argentina."
w7740,International Liquidity Management: Sterilization Policy in Illiquid Financial Markets,2000,False,high,This is a theoretical paper that develops a model to discuss sterilization policy mechanisms rather than conducting empirical tests of a specific government policy's causal effects on financial markets.
w7764,"Banks, Short Term Debt and Financial Crises: Theory, Policy Implications and Applications",2000,False,high,"This is primarily a theoretical paper arguing conceptual mechanisms about short-term debt and crises, without empirical testing of a specific government policy's causal effect on financial outcomes."
w7902,"International Capital Inflows, Domestic Financial Intermediation and Financial Crises under Imperfect Information",2000,False,high,"This is primarily a theoretical paper developing a model of financial crises with policy elements (exchange rate pegs, deposit insurance, government guarantees) as contextual features rather than the primary causal variable being studied."
w7930,R&D Policy in Israel: An Overview and Reassessment,2000,False,high,"This paper primarily describes and reviews R&D policy programs without estimating the causal effect of a specific government policy on financial markets, firms, or investors."
w7983,The Social Discount Rate,2000,False,high,"This is a purely theoretical paper about welfare theory and the social discount rate with no empirical test of a specific government law, regulation, or policy's causal effect on financial markets, firms, or investors."
w7992,Private Inflows when Crises are Anticipated: A Case Study of Korea,2000,True,high,"The paper's primary research question examines the causal effect of financial market deregulation (a specific government policy) on Korean banks' behavior and subsequent financial crisis, with empirical evaluation of the deregulation-crisis relationship."
w8087,Financial Policies and the Prevention of Financial Crises in Emerging Market Countries,2001,False,high,This paper outlines and describes financial policies to prevent crises without empirically testing the causal effect of any specific government intervention on financial markets or outcomes.
w8148,A New Approach to Takeover Law and Regulatory Competition,2001,False,high,"This is a purely theoretical paper proposing a novel form of federal intervention in takeover law without empirically testing the causal effect of any specific existing government law, regulation, or policy on financial markets or firms."
w8164,"Protection of Minority Shareholder Interests, Cross-listings in the United States, and Subsequent Equity Offerings",2001,True,high,The paper's primary research question examines the causal effect of U.S. securities law and regulatory requirements (imposed through cross-listing on NYSE/Nasdaq) on firm behavior and equity offerings.
w8224,Financial Safety Nets: Reconstructing and Modeling a Policymaking Metaphor,2001,False,high,The paper describes and analyzes the design of deposit insurance schemes across countries without empirically estimating the causal effect of a specific policy on financial outcomes.
w8258,Finding a Way Out of America's Demographic Dilemma,2001,False,high,"This is a purely theoretical paper using a dynamic general equilibrium simulation model to forecast demographic and fiscal scenarios under current policy, without empirically testing the causal effect of any specific government intervention."
w8261,Distortion Costs of Taxing Wealth Accumulation: Income Versus Estate Taxes,2001,False,high,"This is a purely theoretical paper using a computational framework to estimate deadweight loss; it does not empirically test the causal effect of an actual estate tax policy on financial markets, firms, or investors."
w8354,"Financial Structure, Macroeconomic Stability and Monetary Policy",2001,False,high,This is a purely theoretical/descriptive paper examining correlations between financial structure changes and macroeconomic outcomes without empirically testing the causal effect of a specific government policy intervention on financial markets or firms.
w8482,Pharmaceutical Prices and Political Activity,2001,False,high,"The paper's primary research question is whether pharmaceutical companies' political activity (PAC contributions) influences their pricing behavior, not the causal effect of a specific government law, regulation, or public policy on financial outcomes."
w8484,The Impacts of Environmental Regulations on Industrial Activity: Evidence from the 1970 & 1977 Clean Air Act Amendments and the Census of Manufactures,2001,False,high,"This paper studies the causal effects of environmental regulations on industrial/manufacturing activity, not on financial markets, firms' financial outcomes, or investors, which fall outside the scope of finance research on government intervention."
w8562,Alcohol Taxes and Labor Market Outcomes,2001,False,high,"The paper's primary research question concerns the causal effect of alcohol taxes on labor market outcomes (employment, wages, hours), not on financial markets, firms, or investors."
w8683,Model Uncertainty and Liquidity,2001,False,high,This is a purely theoretical paper exploring model uncertainty and liquidity through mathematical modeling with no empirical test of any government policy or regulation.
w8756,Entry and Asymmetric Lobbying: Why Governments Pick Losers,2002,False,high,"This is a purely theoretical paper presenting a lobbying model to explain government support patterns, without empirical testing of any specific policy's causal effect on financial markets, firms, or investors."
w8775,"A Dual Method of Empirically Evaluating Dynamic Competitive Equilibrium Models with Market Distortions, Applied to the Great Depression & World War II",2002,False,high,"This is a primarily theoretical paper developing computational methods and equilibrium theorems; while it mentions distortionary taxes during specific historical periods, it does not empirically estimate the causal effect of any specific government policy on financial markets, firms, or investors."
w8784,The Impact of Welfare Reform on Living Arrangements,2002,False,high,"The paper studies the causal effect of welfare policy on household living arrangements and family structure, not on financial markets, firms, or investor behavior, making it outside the scope of finance research."
w8837,Economic and Financial Crises in Emerging Market Economies: Overview of Prevention and Management,2002,False,high,This is a descriptive overview paper that examines policies and crisis management without empirically estimating causal effects of specific government interventions on financial markets or firms.
w8864,Can Subsidiaries of Foreign Banks Contribute to the Stability of the Forex Market in Emerging Economies? A Look at Some Evidence from the Mexican...,2002,False,high,The paper describes and analyzes existing regulatory restrictions on the forex market and foreign bank subsidiaries rather than estimating the causal effect of a specific government intervention or policy change.
w8892,Policy-Driven Productivity in Chile and Mexico in the 1980s and 1990s,2002,False,high,"This is a purely theoretical paper using growth accounting and calibrated general equilibrium modeling without empirical estimation of causal effects of specific policies on financial markets, firms, or investors."
w8909,On the Timeliness of Tax Reform,2002,False,high,"This is a purely theoretical paper analyzing optimal government strategy regarding tax reform timing, without empirical testing of any specific tax law's causal effect on financial outcomes."
w8937,Liquidity Shortages and Banking Crises,2002,False,high,"This is a primarily theoretical paper that discusses the possibility of government intervention without empirically testing the causal effect of any specific government law, regulation, or policy."
w8971,Technological Superiority and the Losses from Migration,2002,False,high,"This paper studies the economic effects of international migration and factor flows in a theoretical framework, not the causal effect of a specific government law, regulation, or public policy on financial markets, firms, or investors."
w8989,Ownership Form and Trapped Capital in the Hospital Industry,2002,False,high,"The paper examines how ownership form (nonprofit vs. for-profit) affects hospital capacity decisions in response to demand changes, which is a question about private firm behavior and organizational economics, not about the causal effect of a specific government law, regulation, or public policy on financial markets, firms, or investors."
w9057,Expectations and Expatriations: Tracing the Causes and Consequences of Corporate Inversions,2002,False,high,"The paper's primary focus is explaining corporate behavior (determinants of expatriation decisions) and market reactions, with U.S. tax policy serving as contextual background rather than the primary causal variable being tested."
w9098,Socioeconomic Status and Health: Why is the Relationship Stronger for Older Children?,2002,False,high,"This paper studies the relationship between socioeconomic status and child health using observational data, without estimating the causal effect of any specific government law, regulation, or public policy intervention."
w9102,Bank Panics and the Endogeneity of Central Banking,2002,False,high,"This is a purely theoretical paper that models endogenous central banking and coalition formation without empirically testing the causal effect of any specific government law, regulation, or policy."
w9321,Asset Price Inflation and Monetary Policy,2002,False,high,"This paper is purely theoretical discussion of policy recommendations without empirical testing of any specific government law, regulation, or policy's causal effect on financial outcomes."
w9322,How Country and Safety-Net Characteristics Affect Bank Risk-Shifting,2002,True,high,"The paper's primary research question examines the causal effect of specific government policies (explicit deposit insurance and its design features like risk-sensitive premiums, coverage limits, and coinsurance) on bank risk-shifting behavior across 56 countries."
w9371,Corporate Governance and Control,2002,False,high,This is a survey paper that describes corporate governance mechanisms and regulatory institutions across countries without estimating the causal effect of any specific government policy on financial outcomes.
w9385,Paying for the FILP,2002,True,high,"The paper empirically examines the causal effects of the FILP reform of April 2001 (a specific government policy) on financial flows and market behavior, which is the primary research question."
w10070,Money in a Theory of Banking,2003,False,high,"This is a purely theoretical paper exploring the connection between money, banks, and credit without any empirical test of a specific government law, regulation, or public policy."
w10071,Liquidity Shortages and Banking Crises,2003,False,high,This is a theoretical paper proposing intervention mechanisms without empirically testing the causal effect of any specific government policy on financial markets or firms.
w9418,Another Look at the New York City School Voucher Experiment,2003,False,high,"This paper studies the causal effect of an education policy (school vouchers) on student achievement, not on financial markets, firms, or investors."
w9450,"Regulation, Distribution Efficiency, and Retail Density",2003,False,high,"The paper studies the Large Store Law's relationship to retail density and distribution structure, but primarily describes regulation and sectoral characteristics rather than estimating the causal effect on financial markets, firms' financial outcomes, or investor behavior."
w9493,Will the Sovereign Debt Market Survive?,2003,False,high,The paper discusses theoretical arguments and reform proposals without empirically estimating the causal effect of any specific implemented government policy on financial markets.
w9560,Regulation and Investment,2003,False,high,"The paper studies the relationship between general product market regulation and investment across sectors, not the causal effect of a specific government law or policy on financial markets, firms, or investors."
