paper_id,orig_in_scope,orig_conf,orig_reason,new_in_scope,new_conf,new_reason
w14576,True,high,"The paper's primary research question is the causal effect of FDICIA (a specific government law) on banking supervision outcomes, monitoring, and insolvency resolution.",True,high,"The paper empirically estimates the causal effects of FDICIA, a specific government law, on banking supervision outcomes and insolvency resolution processes using 1984-2003 examination data."
w14581,True,high,The paper's primary question is the causal effect of government debt guarantees (a specific government policy) on firm equity and capital structure decisions.,False,high,This is primarily a theoretical paper building a dynamic equilibrium model to explain mechanisms of government debt guarantees rather than empirically estimating the causal effect of a specific government policy.
w14890,True,high,The paper's primary research question examines the causal effect of SEC regulation (DBRS certification for bond investment regulations) on firms' cost of capital through bond yields.,True,high,"The paper's primary research question is the causal effect of a specific government regulation (SEC credit rating agency certification) on financial outcomes (firm cost of capital), estimated through an empirical quasi-natural experiment."
w15281,True,high,"The paper investigates the causal effects of means-tested mortgage modification policy on foreclosures and income incentives, which is a specific government intervention affecting financial markets and borrowers.",True,high,The paper's PRIMARY research question is the causal effect of a specific government policy (the federal means-tested mortgage modification plan) on financial outcomes (foreclosures) and borrower behavior (income earning incentives).
w15449,True,high,The paper's primary research question examines the causal effect of a specific SEC regulation (2003 mutual fund voting disclosure rule) on shareholder voting behavior using a before-after empirical design.,True,high,The paper's primary research question is the causal effect of the 2003 SEC mutual fund voting disclosure regulation on institutional investor behavior and shareholder voting outcomes.
w15565,True,high,"The paper examines the causal effects of quantitative easing (a specific monetary policy instrument) on financial markets and economic outcomes, with empirical evidence from Japan.",True,high,"The paper empirically tests the causal effects of a specific government monetary policy instrument (quantitative easing by central banks) on financial and economic outcomes (monetary base, M1, inflation, nominal GDP)."
w15569,True,high,The paper's primary research question examines the causal effect of creditor rights (a specific legal/regulatory framework) on firms' investment policies and risk-taking behavior.,True,high,"The paper's primary research question is the causal effect of creditor rights (a specific government regulation/policy) on corporate investment decisions and risk-taking, tested through cross-country analysis and time-series variation around policy changes."
w15572,True,high,"The paper uses an event study to estimate the causal effect of EU tradable permit regulations on financial markets/firms, which directly matches the scope criterion.",True,high,"The paper's primary research question is the causal effect of the EU Emission Trading System (a specific government regulation) on firm financial outcomes (stock returns), tested through an event study methodology."
w16763,True,high,The paper examines the causal effect of the Federal Reserve's establishment as a lender of last resort (a specific government policy/institution) on financial markets during 1914-1933.,True,high,"The paper empirically examines the causal effects of the Federal Reserve Act and its specific policy instruments (discount window, bankers acceptance-purchase facilities) on banking system stability and financial market outcomes during 1914-1933."
w17010,True,high,The paper examines the causal effect of legal investor protection (a specific government regulation) on takeover market efficiency and firm acquisition behavior.,False,high,"This is a purely theoretical paper studying how legal investor protection affects takeover outcomes through financing and competition mechanisms, without empirical testing of a specific policy's causal effect."
w17136,True,high,The paper's primary research question examines the causal effect of government financial sector bailouts (a specific public policy) on sovereign credit risk and economic outcomes.,True,high,The paper empirically tests the causal effects of a specific government policy (financial sector bailouts) on financial markets (sovereign and bank credit risk) using CDS data.
w17142,True,medium,"The paper examines the causal effect of specific government asset purchase policies and policies reducing financial institutions' funding costs on credit markets and economic activity, meeting the primary research question criterion.",False,high,This is primarily a theoretical paper exploring financial friction models rather than empirically testing the causal effects of specific government policies on financial markets or economic outcomes.
w17149,True,high,The paper empirically estimates the causal effect of government bailout guarantees (a specific public policy) on financial markets by analyzing how option markets price sector-wide government safety nets.,True,high,"The paper's primary research question examines the causal effect of government bailout guarantees (a specific public policy) on financial market prices, specifically option valuations and pricing of systemic risk."
w17518,True,high,"The paper examines the causal effect of Korea's 'no bailout' policy during the 1997-99 crisis on investor perceptions and firm outcomes, which is a specific government policy intervention in financial markets.",True,high,The paper's primary research question examines the causal effect of Korea's 'no bailout' government policy on investor perceptions and firm borrowing costs during the financial crisis.
w17522,True,high,The paper's primary research question is the causal effect of tax policy (a specific government policy) on household financial asset ownership and the shift from direct to indirect stock ownership.,True,high,The paper's primary research question is the causal effect of tax policy (a specific government regulation) on household financial asset ownership patterns across countries.
w17537,True,high,The paper's primary research question is evaluating the causal effect of government bailout guarantees (a specific government policy) on macroeconomic outcomes and the mortgage market.,True,high,"The paper's primary research question is the causal effect of government bailout guarantees (modeled as mortgage interest rate subsidies) on mortgage markets, housing investment, foreclosure rates, and welfare."
w17555,True,high,"The paper's primary research question is the causal effect of a specific government policy (Federal Reserve's QE1 and QE2 programs) on financial markets (interest rates), using empirical event-study methodology.",True,high,The paper's primary research question is the causal effect of specific Federal Reserve quantitative easing policies (QE1 and QE2) on interest rates across multiple asset classes using empirical event-study methodology.
w17797,True,high,"The paper's primary research question is the causal effect of the SEC's 2010 proxy access rule on firm value, using a natural experiment to estimate this effect.",True,high,"The paper's primary research question is the causal effect of the SEC's 2010 proxy access rule on firm value, using natural experiments from regulatory announcements and court decisions."
w17822,True,high,The paper investigates the causal effect of a specific macro-prudential policy (bank capital requirements) on credit supply through a UK policy experiment.,True,high,"The paper's primary research question is the causal effect of a specific UK macro-prudential policy (time-varying, bank-specific minimum capital requirements) on credit supply and financial market outcomes, estimated empirically using a natural experiment."
w18270,True,high,The paper's primary research question is the causal effect of specific government policies (capital requirements and fair value accounting regulation) on financial market outcomes (RMBS prices and liquidity).,True,high,"The paper's primary research question examines the causal effect of specific government regulations (capital requirements and fair value accounting rules) on financial market outcomes (RMBS fire sales), using an empirical identification strategy based on differential capital constraints."
w18394,True,high,"The paper's primary research question is the causal effect of regulatory changes on mortgage risk, which is a specific government policy intervention affecting financial markets.",True,high,"The paper's primary research question is the causal effect of regulatory changes on mortgage risk (delinquencies) in financial markets, tested empirically using loan-level data."
w18421,True,high,The paper's primary research question concerns the causal effect of qualitative easing (a specific government monetary policy involving central bank asset purchases) on financial markets and risk mitigation.,False,high,"This is primarily a theoretical paper constructing a general equilibrium model; while it discusses qualitative easing policy, it does not empirically estimate the causal effect of an actual implemented government regulation on real financial markets or firms."
w18587,True,high,The paper's primary research question is assessing the causal effect of a specific government intervention (bailouts) on financial markets and firm behavior during crises.,True,high,"The paper's primary research question is the causal effect of government bailout interventions (a specific public policy) on financial markets and crisis dynamics, tested through quantitative equilibrium modeling."
w18968,True,high,The paper tests the causal effect of macroprudential stress tests (a specific government regulatory policy) on financial firms' solvency assessment and outcomes.,True,high,The paper empirically tests the causal effect of macroprudential stress test regulations and regulatory risk weight policies on financial firm capitalization and solvency outcomes.
w19018,True,high,The paper's primary research question is the causal effect of a specific government policy (strict capital requirements) on financial outcomes (cost of capital and borrowing rates).,True,high,The paper empirically tests the causal effect of minimum capital requirements (a specific government regulation) on the cost of capital for banks and borrowers using U.S. data.
w19132,True,medium,"The paper examines the causal effects of two specific government policies—orderly liquidation procedures and deposit insurance—on bank runs and financial stability, though the abstract is incomplete and somewhat unclear about the empirical methodology.",False,high,This is a purely theoretical paper modeling the effects of deposit insurance and liquidation policies without empirical testing of actual government interventions.
w19257,True,high,The paper analyzes the causal effect of a specific regulatory reform (replacing credit ratings in capital requirements) on insurance companies' risk-taking and capital buffers.,True,high,The paper's primary research question is the causal effect of a specific regulatory reform (replacing credit ratings with a new capital requirement system) on insurance companies' risk-taking behavior in financial markets.
w21328,True,high,The paper's primary research question examines the causal effect of mandatory disclosure policy (a specific government regulation) on financial markets and welfare outcomes.,True,high,The paper's primary research question is the causal effect of a specific government policy (mandatory disclosure of bank balance sheet information) on financial markets and welfare outcomes.
w21626,True,high,"The paper's primary question concerns the causal effect of government mortgage guarantees (a specific government policy) on the mortgage market, firms, and financial intermediation.",True,high,"The paper's primary research question is the causal effect of government mortgage guarantees (a specific public policy) on financial markets, firms, and investors, using an empirical model to estimate effects of pricing changes to this policy instrument."
w21739,True,medium,"Paper appears to examine causal effects of post-2008 regulatory interventions on market liquidity, though the incomplete abstract prevents full certainty about the empirical methodology and primary research question.",True,high,"The paper's primary research question is the causal effect of Dodd-Frank and the Volcker Rule on market liquidity, estimated through multiple empirical strategies."
w22285,True,high,The paper's primary research question concerns the causal effects of quantitative easing (a specific government/central bank policy) on financial conditions and aggregate demand.,False,high,This is a purely theoretical paper using a general-equilibrium model to analyze policy dimensions without empirical testing of actual quantitative easing policies or their effects.
w22645,True,high,The paper directly investigates the causal effects of U.S. domestic prudential regulatory changes on banking behavior and cross-border outcomes using micro-banking data.,True,high,"The paper empirically estimates the causal effects of specific government regulatory changes (loan-to-value ratios, reserve requirements, capital requirements) on financial outcomes (lending growth and allocation), meeting the core criterion of studying causal policy effects on financial markets."
w22692,True,high,"The paper investigates the causal effect of state-level deposit insurance laws on bank risk-taking behavior and market discipline, which is a specific government policy intervention on financial institutions.",True,high,"The paper's primary research question is the causal effect of state-level deposit insurance laws on bank risk-taking and financial outcomes, estimated using a natural experiment."
w22801,True,high,"The paper examines the causal effect of China's 2009-2010 fiscal stimulus policy on financial markets and economic outcomes, which is a specific government intervention.",True,high,"The paper empirically estimates the causal effects of China's 2009-2010 fiscal stimulus policy on financial markets and firm behavior (investment rates, capital allocation, current account effects)."
w24132,True,high,"The paper's primary research question is the causal effect of government bailout policies on banks' funding and leverage decisions, with bank size as a moderating factor.",False,high,This paper is primarily theoretical (exploring model equilibrium behavior and optimal regulation design) rather than empirically testing the causal effect of an actual government bailout policy on financial outcomes.
w24365,True,high,The paper's primary research question is the causal effect of post-crisis stress tests (a specific government policy) on banks' credit supply and pricing behavior for small business loans.,True,high,"The paper estimates the causal effect of post-crisis stress tests (a specific government policy) on banks' credit supply, interest rates, and lending behavior to small businesses."
w24501,True,high,The paper's primary research question is the causal effect of a specific government policy (Dodd-Frank Act) on financial markets and firm behavior (small business lending).,True,high,The paper's primary research question is estimating the causal effect of the Dodd-Frank Act on small business lending and business formation through empirical analysis of regulatory compliance costs and loan supply effects.
w24589,True,high,"The paper's primary research question is the causal effect of deposit insurance policy on deposit flows in failing banks, estimated using account-level data.",True,high,"The paper's primary research question is the causal effect of deposit insurance policy on deposit flows and bank stability, estimated using account-level data from failing banks."
w24706,True,high,"The paper examines the causal effect of government guarantees (a specific policy) on bank valuation metrics, which is a core government intervention research question.",True,high,"The paper's primary research question is estimating the causal effect of government guarantees (a specific government policy) on bank valuation, empirically decomposing how policy changes affect the market-to-book ratio."
w24936,True,high,"The paper's primary research question is the causal effect of deposit insurance policy (a specific government regulation) on bank asset risk, which is a core financial outcome.",True,high,The paper empirically estimates the causal effect of deposit insurance policy (a specific government regulation) on financial outcomes (bank asset risk and banking system behavior).
w26564,True,high,"The paper's primary research question is the causal effect of government guarantees (a specific government policy) on bank performance during a financial crisis, estimated using empirical methods and geographic variation.",True,high,"The paper's primary research question is the causal effect of government guarantees (a specific public policy) on bank performance and deposit behavior during a financial crisis, using geographic variation for identification."
w26887,True,high,"The paper's primary research question tests the causal effect of bank stress testing regulations (a specific government policy) on regulatory outcomes, examining whether this policy instrument is influenced by political connections or regulatory capture.",True,high,"The paper empirically tests the causal effect of bank stress testing (a specific regulatory policy instrument) on financial firms' behavior and outcomes, which is the primary research question."
w27207,True,medium,"Paper examines causal effects of government Covid bailout intervention on macroeconomic quantities and prices, though the abstract is incomplete and lacks specificity about the empirical methodology.",False,high,This is a theoretical equilibrium model paper that does not empirically estimate the causal effect of actual government policies on real financial markets or firms.
w27295,True,high,The paper examines the causal effects of specific Federal Reserve policy interventions (lending programs and direct lending/debt purchases) on financial markets and firms during COVID-19.,False,high,"This is a purely theoretical paper developing a framework to compare QE policies without empirical testing of causal effects on actual financial markets, firms, or investors."
w27339,True,high,The paper's primary research question is estimating the causal effect of central bank quantitative easing (a specific monetary policy instrument) on financial markets (government bond yields and exchange rates) using an event study design.,True,high,"The paper's primary research question is the causal effect of specific central bank quantitative easing policy announcements on financial markets (government bond yields and exchange rates), which is a government intervention."
w27537,True,high,The paper's primary research question is the causal effect of government banking interventions (a specific public policy) on financial outcomes during the crisis.,True,high,"The paper's primary research question is the causal effect of a specific government policy (bank guarantees versus recapitalizations during the financial crisis) on banking sector outcomes, credit supply, and financial stability."
w28210,True,high,The paper's PRIMARY research question is the CAUSAL EFFECT of environmental regulation (a specific government policy) on municipal bond yields (financial markets).,True,high,"The paper's primary research question is the causal effect of environmental regulation on municipal bond yields and costs, directly measuring policy impacts on financial markets."
w28501,True,high,The paper's primary research question examines the causal effect of capital regulation on shadow banking system behavior and financial market outcomes using quantitative empirical modeling.,True,high,The paper's primary research question is the causal effect of a specific government policy (capital requirements regulation) on financial markets and institutions (shadow banking system response and overall financial stability).
w29143,True,high,Paper examines the causal effect of disclosure and governance regulations on the number of publicly-listed firms using bunching estimation as an empirical method.,True,high,"The paper empirically estimates the causal effect of specific disclosure and governance regulations on firm behavior (bunching around regulatory thresholds) and quantifies regulatory compliance costs, directly addressing how government policy affects financial market participation decisions."
w29971,True,high,The paper examines the causal effect of a specific government policy instrument (yield curve control) on financial market outcomes (bond prices).,True,high,"The paper's primary research question is the causal effect of a specific government policy (Australia's yield curve control) on financial markets (government and other bond prices), with empirical testing of transmission mechanisms."
w29994,True,high,"The paper empirically estimates the causal effect of a shock to expected climate regulations on corporate bond pricing, which is a specific government policy intervention's effect on financial markets.",True,high,The paper's primary research question examines the causal effect of climate regulatory risk (a specific government policy) on corporate bond pricing and credit ratings.
w31693,True,high,The paper estimates the causal effect of a specific government/central bank policy instrument (QE reserve injections) on financial markets and bank behavior (lending and deposit demand).,True,high,The paper empirically estimates the causal effect of a specific government monetary policy instrument (QE reserve injections) on financial market outcomes (bank lending and loan rates).
w32284,True,high,"The paper empirically examines the causal effect of deposit insurance coverage (a government policy) on bank instability and deposit competition, using the U.S. Postal Savings System as a natural experiment.",True,high,"The paper's primary research question is the causal effect of a specific government policy (U.S. Postal Savings System deposit insurance) on financial system stability (bank closures), estimated using causal inference methods."
